citation_key,short_label,year,title,reason
WOS:001760895000001,Cheon2026,2026,Investigating visual attention shifts between robots and hazards during construction tasks: a virtual reality eye-tracking analysis,not-CHRC
Edwards2026,Edwards2026,2026,"Collaborative, time-varying macroscopic ensemble allocation in dynamic environments",not-CHRC
WOS:001719107900001,Kavirathna2026,2026,Convergence of Circular Economy With Industry 5.0 to Enhance Sustainability: Paradigm Shift in the Construction Industry,no-eligible-resource
Bonyani2025,Bonyani2025,2025,AI - Driven Hand Reconstruction for Immersive Teleoperation in Construction Industry: Bridging Physical and Digital Realities with RGB- D Reconstruction,no-eligible-resource
3721488.3721613,Grand2025,2025,GAIPAT - Dataset on Human Gaze and Actions for Intent Prediction in Assembly Tasks,outside-construction
Heuer202595,Heuer2025,2025,Automated Multi-agent Assembly: Collaborative Robot-Crane Concept and Capability Matching Implementation for the Automated Assembly of Heavy Construction Components,not-CHRC
WOS:001589052000002,Ostapska2025,2025,Automated robotic deconstruction sequence planning from scan-to-BIM data for reinforced concrete structure reuse,not-CHRC
Rahman2025477,Rahman2025,2025,A proposed strategy for automating Intermeshed Steel Connection assembly using robotics,not-CHRC
Albeaino2024383,Albeaino2024,2024,Emotional and Attitude Impacts of Drones on Construction Individuals Working at Heights,not-CHRC
Albeaino20241008,Albeaino2024,2024,Impact of Four-Legged Robot Proxemics on Risk Perception and Situational Awareness among Construction Individuals,not-CHRC
WOS:001135227500001,Chea2024,2024,Design and development of robotic collaborative system for automated construction of reciprocal frame structures,not-CHRC
doi:10.1061/JCCEE5.CPENG-5723,Chen2024,2024,Building “RoboAvatar”: Industry Foundation Classes–Based Digital Representation of Robots in the Built Environment,not-CHRC
Cheng20249,Cheng2024,2024,Safe Operations of Construction Robots on Human-Robot Collaborative Construction Sites,no-eligible-resource
Dörfler2024,Dorfler2024,2024,Advancing construction in existing contexts: Prospects and barriers of 3d printing with mobile robots for building maintenance and repair,no-eligible-resource
Li2024,Li2024,2024,A MOBILE ADDITIVE MANUFACTURING ROBOT FRAMEWORK FOR SMART MANUFACTURING SYSTEMS,outside-construction
Oyediran2024806,Oyediran2024,2024,Human-Aware Safe Robot Control and Monitoring System for Operations in Congested Indoor Construction Environment,not-CHRC
Amtsberg2023637,Amtsberg2023,2023,Multi-Akteur-Fabrikation im Bauwesen: Co-Design-Methoden für eine anpassungsfähigere Vorfabrikation,no-eligible-resource
Cai2023,Cai2023,2023,Prediction-Based Path Planning for Safe and Efficient Human-Robot Collaboration in Construction via Deep Reinforcement Learning,not-CHRC
WOS:001136907804075,Chang2023,2023,Hydra-Multi: Collaborative Online Construction of 3D Scene Graphs with Multi-Robot Teams,not-CHRC
WOS:001344258000021,Garcia-Perez2023,2023,Collaborative Construction of a Multi-Robot Remote Laboratory: Description and Experience,outside-construction
WOS:001133658803119,Li2023,2023,Nonlinear Model Predictive Control for Cooperative Transportation and Manipulation of Cable Suspended Payloads with Multiple Quadrotors,not-CHRC
Ojha2023,Ojha2023,2023,Affordable Multiagent Robotic System for Same-Level Fall Hazard Detection in Indoor Construction Environments,not-CHRC
Shafiei2023129,Shafiei2023,2023,STRUCTURAL PERFORMANCE OF BIO-CLAY COBOT PRINTED BLOCKS,not-CHRC
Vann2023,Vann2023,2023,Enabling automated facility maintenance from articulated robot Collision-Free designs,not-CHRC
Mangin2022,Mangin2022,2022,How to be Helpful? Supportive Behaviors and Personalization for Human-Robot Collaboration,outside-construction
Cai202134,Cai2021,2021,Prediction-Enabled Collision Risk Estimation for Safe Human-Robot Collaboration on Unstructured and Dynamic Construction Sites,not-CHRC
Hani Daniel Zakaria2021,HaniDanielZakaria2021,2021,General Framework for the Optimization of the Human-Robot Collaboration Decision-Making Process Through the Ability to Change Performance Metrics,outside-construction
Klimaszewski20211,Klimaszewski2021,2021,Human body parts proximity measurement using distributed tactile robotic skin,outside-construction
Brosque2020,Brosque2020,2020,Human-Robot Collaboration in Construction: Opportunities and Challenges,no-eligible-resource
Cunha2020368,Cunha2020,2020,Towards Endowing Collaborative Robots with Fast Learning for Minimizing Tutors’ Demonstrations: What and When to Do?,outside-construction
Hu20202412,Hu2020,2020,Toward Intelligent Workplace: Prediction-Enabled Proactive Planning for Human-Robot Coexistence on Unstructured Construction Sites,not-CHRC
Jung2020,Jung2020,2020,Robot-Assisted Tower Construction—A Method to Study the Impact of a Robot's Allocation Behavior on Interpersonal Dynamics and Collaboration in Groups,outside-construction
Liang20201480,Liang2020,2020,Bi-directional communication bridge for state synchronization between digital twin simulations and physical construction robots,not-CHRC
Brawer2018827,Brawer2018,2018,Situated Human-Robot Collaboration: Predicting intent from grounded natural language,outside-construction
WOS:000412816000011,Melo2016,2016,Collaborative Object Transportation Using Heterogeneous Robots,not-CHRC
