resource_id,citation_key,short_label,year,setting,focal_task,H_capabilityAndRole,H_physicalState,H_action,H_intent,H_internalState,R_capabilityAndConfiguration,R_physicalState,R_action,R_intent,T_specification,T_structure,T_allocation,T_workObjectState,T_execution,E_geometricStructure,E_semanticContent,E_operatingConditions,I_modality,I_representationForm,I_unitOfObservation,I_measurementUnit,I_source,I_perspective,I_encodingMethod,I_spatialReference,I_temporalReference
RES-CON-0001-01,Chen2026,Chen2026,2026,laboratory mock-up,construction waste sorting,notReported,captured,captured,captured,notReported,captured,notReported,captured,captured,notReported,notReported,captured,captured,captured,captured,notReported,captured,reported,reported,notReported,reported,notReported,notReported,notReported,notReported,notReported
RES-CON-0002-01,Zhang2026,Zhang2026,2026,not reported,component handling; component assembly,notReported,captured,captured,captured,captured,captured,captured,captured,notReported,captured,captured,captured,notReported,captured,notReported,notReported,notReported,reported,reported,notReported,reported,notReported,notReported,reported,reported,reported
RES-CON-0003-01,Ojha2026,Ojha2026,2026,not reported,material-delivering,captured,notReported,notReported,captured,captured,captured,captured,captured,captured,notReported,notReported,notReported,captured,captured,notReported,notReported,notReported,reported,notReported,notReported,notReported,notReported,notReported,reported,notReported,notReported
RES-CON-0004-01,WOS:001765982600001,Loy2026,2026,not reported,bricklaying,notReported,notReported,notReported,notReported,notReported,captured,notReported,captured,captured,captured,captured,captured,captured,captured,notReported,notReported,captured,notReported,notReported,reported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0005-01,Chauhan2026,Chauhan2026,2026,not reported,bricklaying,captured,notReported,notReported,notReported,captured,captured,notReported,captured,captured,notReported,notReported,captured,notReported,captured,notReported,notReported,captured,notReported,notReported,reported,reported,notReported,notReported,notReported,notReported,notReported
RES-CON-0006-01,Wang2026,Wang2026,2026,on-site,not reported,notReported,notReported,captured,notReported,captured,notReported,notReported,captured,notReported,notReported,notReported,notReported,captured,captured,notReported,captured,notReported,notReported,reported,notReported,reported,notReported,notReported,reported,notReported,notReported
RES-CON-0007-01,Bui202620371,Bui2026,2026,on-site,operating heavy machinery; lifting and carrying materials; measuring and marking surfaces; mixing cement or concrete; collaborating in teams; using hand tools; inspecting completed work; communicating with supervisors; following safety protocols; taking breaks/resting,notReported,captured,captured,notReported,captured,captured,notReported,captured,notReported,notReported,notReported,captured,captured,captured,notReported,notReported,captured,reported,notReported,notReported,reported,reported,notReported,reported,notReported,notReported
RES-CON-0010-01,Rossini20261332,Rossini2026,2026,on-site,drilling; sanding; plastering; collaborative transportation with obstacle avoidance,captured,notReported,captured,captured,notReported,captured,captured,captured,captured,captured,captured,captured,captured,captured,captured,captured,notReported,notReported,reported,notReported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0012-01,Kim2026,Kim2026,2026,not reported,Robot-assisted Bricklaying,captured,notReported,captured,notReported,captured,captured,notReported,captured,captured,notReported,captured,captured,captured,captured,captured,notReported,captured,reported,notReported,notReported,reported,reported,notReported,reported,reported,reported
RES-CON-0013-01,Wang2026,Wang2026,2026,on-site,welding,notReported,notReported,notReported,notReported,notReported,captured,notReported,notReported,captured,captured,captured,captured,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,reported,notReported,notReported,notReported
RES-CON-0014-01,Deng202610449,Deng2026,2026,not reported,not reported,notReported,notReported,notReported,captured,notReported,captured,notReported,captured,captured,captured,captured,notReported,captured,captured,notReported,notReported,captured,reported,reported,reported,notReported,notReported,notReported,notReported,notReported,reported
RES-CON-0015-01,Su20261,Su2026,2026,not reported,utility tunnel maintenance,notReported,captured,captured,captured,captured,captured,notReported,notReported,captured,notReported,notReported,captured,notReported,notReported,notReported,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0017-01,10.1145/3800645.3813008,Yang2026,2026,not reported,truss design; truss fabrication,notReported,captured,notReported,captured,notReported,captured,notReported,captured,notReported,captured,captured,notReported,notReported,notReported,captured,notReported,captured,notReported,reported,notReported,reported,reported,reported,reported,reported,reported
RES-CON-0018-01,Wang2026,Wang2026,2026,not reported,prefabricated construction assembly,captured,captured,captured,captured,notReported,captured,notReported,captured,captured,captured,captured,captured,captured,captured,captured,captured,captured,reported,notReported,reported,reported,reported,notReported,reported,notReported,reported
