resource_id,citation_key,short_label,year,linked_publications,setting,record_basis,origin,focal_task,participants,robot_instances,robot_platforms,focal_tasks,environment_configurations,sessions_or_trials,duration,access_status,H_capabilityAndRole,H_physicalState,H_action,H_intent,H_internalState,R_capabilityAndConfiguration,R_physicalState,R_action,R_intent,T_specification,T_structure,T_allocation,T_workObjectState,T_execution,E_geometricStructure,E_semanticContent,E_operatingConditions,I_modality,I_representationForm,I_unitOfObservation,I_measurementUnit,I_source,I_perspective,I_encodingMethod,I_spatialReference,I_temporalReference,cross_referent_relations
RES-CON-0001-01,Chen2026,Chen2026,2026,10.1016/j.clema.2026.100386,laboratory mock-up,episode,real,construction waste sorting,not reported,1,1,1,1,not reported,not reported,available on request,notReported,captured,captured,captured,notReported,captured,notReported,captured,captured,notReported,notReported,captured,captured,captured,captured,notReported,captured,reported,reported,notReported,reported,notReported,notReported,notReported,notReported,notReported,communication
RES-CON-0002-01,Zhang2026,Zhang2026,2026,10.1115/1.4070492,not reported,episode,real,component handling; component assembly,10,1,1,2,not reported,not reported,not reported,metadata only,notReported,captured,captured,captured,captured,captured,captured,captured,notReported,captured,captured,captured,notReported,captured,notReported,notReported,notReported,reported,reported,notReported,reported,notReported,notReported,reported,reported,reported,notReported
RES-CON-0003-01,Ojha2026,Ojha2026,2026,10.1139/cjce-2025-0094,not reported,episode,real,material-delivering,14,1,1,1,not reported,30,not reported,available on request,captured,captured,captured,notReported,notReported,captured,captured,captured,captured,notReported,notReported,notReported,captured,captured,notReported,notReported,notReported,reported,notReported,notReported,notReported,notReported,notReported,reported,notReported,notReported,notReported
RES-CON-0004-01,WOS:001765982600001,Loy2026,2026,10.1108/ci-07-2025-0341,not reported,episode,real,bricklaying,not reported,1,1,1,1,not reported,not reported,not reported,notReported,notReported,notReported,notReported,notReported,captured,notReported,captured,captured,captured,captured,captured,captured,captured,notReported,notReported,captured,notReported,notReported,reported,notReported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0005-01,Chauhan2026,Chauhan2026,2026,10.1061/jcemd4.coeng-17093,not reported,episode,real,bricklaying,11,1,1,1,2,not reported,not reported,available on request,captured,notReported,notReported,notReported,captured,captured,notReported,captured,captured,notReported,notReported,captured,notReported,captured,notReported,notReported,captured,notReported,notReported,reported,reported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0006-01,Wang2026,Wang2026,2026,10.1061/jccee5.cpeng-7016,on-site,episode,real,not reported,not reported,not reported,not reported,not reported,1,not reported,not reported,available on request,notReported,notReported,captured,notReported,captured,notReported,notReported,captured,notReported,notReported,notReported,notReported,captured,captured,notReported,captured,notReported,notReported,reported,notReported,reported,notReported,notReported,reported,notReported,notReported,notReported
RES-CON-0007-01,Bui202620371,Bui2026,2026,10.1109/access.2026.3661520,on-site,episode,real,operating heavy machinery; lifting and carrying materials; measuring and marking surfaces; mixing cement or concrete; collaborating in teams; using hand tools; inspecting completed work; communicating with supervisors; following safety protocols; taking breaks/resting,not reported,not reported,not reported,10,1,not reported,not reported,metadata only,notReported,captured,captured,notReported,captured,captured,notReported,captured,notReported,notReported,notReported,captured,notReported,captured,notReported,notReported,captured,reported,notReported,notReported,reported,reported,notReported,reported,notReported,notReported,notReported
RES-CON-0010-01,Rossini20261332,Rossini2026,2026,10.1002/rob.70092,on-site,episode,real,drilling; sanding; plastering; collaborative transportation with obstacle avoidance,not reported,1,1,4,1,not reported,not reported,open public,notReported,notReported,notReported,notReported,notReported,captured,notReported,captured,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,reported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0012-01,Kim2026,Kim2026,2026,10.1016/j.aei.2026.104777,not reported,episode,real,Robot-assisted Bricklaying,10,1,1,1,1,not reported,not reported,available on request,captured,notReported,captured,notReported,captured,captured,notReported,captured,captured,notReported,captured,captured,captured,captured,captured,notReported,captured,reported,notReported,notReported,reported,reported,notReported,reported,reported,reported,handover/contact
RES-CON-0013-01,Wang2026,Wang2026,2026,10.1061/jmenea.meeng-7134,on-site,model-generated,real,welding,not reported,not reported,not reported,1,1,not reported,not reported,metadata only,notReported,notReported,notReported,notReported,notReported,captured,notReported,captured,notReported,captured,captured,captured,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,reported,notReported,notReported,notReported,notReported
RES-CON-0014-01,Deng202610449,Deng2026,2026,10.1109/tase.2026.3697962,not reported,model-generated,mixed,not reported,not reported,not reported,not reported,not reported,1,not reported,not reported,not reported,notReported,notReported,captured,notReported,notReported,captured,notReported,captured,captured,captured,captured,captured,captured,captured,captured,notReported,notReported,reported,reported,reported,notReported,notReported,notReported,notReported,notReported,reported,notReported
RES-CON-0015-01,Su20261,Su2026,2026,10.1108/ecam-11-2024-1531,not reported,episode,real,utility tunnel maintenance,not reported,not reported,not reported,1,1,not reported,not reported,not reported,notReported,captured,captured,captured,captured,captured,notReported,captured,notReported,notReported,notReported,captured,notReported,notReported,notReported,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0017-01,10.1145/3800645.3813008,Yang2026,2026,10.1145/3800645.3813008,not reported,episode,real,truss design; truss fabrication,16,1,1,2,1,150,not reported,not reported,notReported,captured,captured,notReported,notReported,captured,notReported,captured,notReported,notReported,captured,notReported,notReported,captured,captured,notReported,captured,notReported,reported,notReported,reported,notReported,reported,reported,notReported,reported,communication
RES-CON-0018-01,Wang2026,Wang2026,2026,10.1016/j.aei.2026.104580,not reported,mixed,not reported,prefabricated construction assembly,not reported,1,1,1,4,not reported,not reported,available on request,captured,captured,captured,captured,notReported,captured,notReported,captured,captured,captured,captured,captured,captured,captured,captured,captured,captured,reported,notReported,reported,reported,notReported,notReported,reported,notReported,reported,communication
RES-CON-0019-01,Wang2026,Wang2026,2026,10.1016/j.eswa.2025.129928,not reported,elicited,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,available on request,notReported,notReported,notReported,notReported,captured,notReported,notReported,captured,notReported,captured,notReported,captured,notReported,captured,captured,notReported,notReported,notReported,notReported,notReported,reported,notReported,notReported,notReported,notReported,notReported,directed psychological relation
RES-CON-0020-01,Alwisy2026,Alwisy2026,2026,10.1016/j.jobe.2026.115872,not reported,episode,not reported,11 core prefabrication tasks,not reported,2,1,11,1,not reported,not reported,available on request,notReported,captured,captured,notReported,notReported,captured,captured,captured,notReported,notReported,notReported,notReported,notReported,captured,captured,notReported,captured,notReported,notReported,notReported,reported,notReported,notReported,notReported,reported,notReported,notReported
RES-CON-0021-01,Lee2026,Lee2026,2026,10.1111/exsy.70219,not reported,episode,real,Pick-and-Place,3,3,1,1,1,not reported,not reported,explicitly unavailable,captured,captured,notReported,notReported,notReported,captured,notReported,captured,captured,notReported,captured,notReported,captured,captured,notReported,notReported,notReported,notReported,reported,reported,notReported,notReported,notReported,reported,notReported,reported,notReported
RES-CON-0022-01,10.1145/3800645.3812995,Kenny2026,2026,10.1145/3800645.3812995,immersive/VR,mixed,real,block placement,12,1,1,1,1,not reported,not reported,not reported,notReported,notReported,notReported,notReported,notReported,captured,captured,captured,captured,captured,notReported,captured,notReported,captured,notReported,notReported,captured,notReported,reported,notReported,reported,notReported,notReported,notReported,notReported,reported,notReported
RES-CON-0023-01,Lin2026,Lin2026,2026,10.1016/j.autcon.2026.107067,not reported,mixed,real,wall panel installation,30,1,1,1,1,not reported,not reported,available on request,captured,notReported,captured,notReported,notReported,captured,notReported,captured,captured,captured,notReported,captured,notReported,captured,captured,captured,notReported,reported,reported,reported,notReported,notReported,reported,notReported,notReported,notReported,directed psychological relation
RES-CON-0024-01,WOS:001762188400001,Kobayashi2026,2026,10.1299/mej.26-00065,not reported,episode,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,captured,captured,notReported,notReported,captured,reported,reported,notReported,reported,notReported,notReported,notReported,reported,notReported,notReported
RES-CON-0025-01,Wang2026,Wang2026,2026,10.1061/jcemd4.coeng-17137,not reported,mixed,real,wooden wall panel manufacturing,10,1,1,1,not reported,2,not reported,available on request,notReported,notReported,notReported,notReported,captured,captured,captured,captured,captured,captured,captured,captured,notReported,captured,notReported,notReported,captured,reported,reported,notReported,reported,notReported,notReported,reported,notReported,notReported,proximity
RES-CON-0026-01,Zaolin2026,Zaolin2026,2026,10.1016/j.aei.2025.104203,not reported,episode,not reported,not reported,not reported,not reported,not reported,not reported,not reported,30,70 min,not reported,captured,notReported,captured,captured,notReported,notReported,notReported,captured,captured,captured,captured,captured,notReported,captured,notReported,notReported,captured,notReported,reported,notReported,notReported,notReported,reported,reported,reported,notReported,notReported
RES-CON-0027-01,WOS:001760373800001,Wu2026,2026,10.1108/ecam-11-2025-1870,not reported,mixed,real,ground leveling,31,1,1,1,1,not reported,not reported,not reported,captured,notReported,notReported,notReported,captured,notReported,notReported,notReported,captured,captured,notReported,notReported,notReported,captured,captured,captured,captured,reported,reported,notReported,notReported,notReported,notReported,reported,reported,notReported,proximity
RES-CON-0028-01,Yuan2025346,Yuan2025,2025,10.1109/cvaa66438.2025.11193176,not reported,episode,not reported,wall panel installation; point-based drilling; anchor bolt alignment; surface smoothing,not reported,1,1,4,1,not reported,not reported,not reported,notReported,notReported,captured,notReported,notReported,captured,notReported,notReported,captured,captured,notReported,captured,notReported,captured,captured,notReported,notReported,reported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,communication
